Wind speed,Output power,Nacelle temperature,Generator speed,Pitch motor temperature 1,Pitch motor temperature 2,Pitch motor temperature 3,Pitch angle 1,Pitch angle 2,Pitch angle 3,Pitch torque 1,Pitch torque 2,Pitch torque 3
5.57,312.3,0.2,1287.5,19,16,19,0,0,0,-7.85,-4.74,-7.32
5.5,391.8,0.9,1375.2,21,17,21,0,0,0,-9.71,-5.46,-9.05
5.5,391.8,0.9,1375.2,21,17,21,0,0,0,-9.71,-5.46,-9.05
5.52,378,4.2,1361.5,31,29,33,0,0,0,-5.83,-8.05,-8.5
5.57,367.7,1.5,1353.5,19,16,20,0,0,0,-9.44,-6.76,-8.86
5.54,380.6,2.1,1366.4,21,17,21,0,0,0,-10.09,-7.13,-9.2
5.5,332.1,1.9,1301.5,21,17,21,0,0,0,-6.57,-5.31,-8.54
5.51,338.8,4.6,1315.3,21,19,21,0,0,0,-6.83,-7.37,-7.52
5.6,393,0.8,1382.5,16,13,16,0,0,0,-6.86,-7.78,-8.78
5.69,391.2,1.3,1377,21,17,20,0,0,0,-8.36,-6.17,-7.11
5.69,391.2,1.3,1377,21,17,20,0,0,0,-8.36,-6.17,-7.11
5.69,391.2,1.3,1377,21,17,20,0,0,0,-9.58,-6.29,-7.58
5.6,342,4.4,1310.9,11,9,13,0,0,0,-7.46,-6.58,-9.21
5.6,393.5,2.2,1376.5,36,33,37,0,0,0,-8.81,-8.27,-8.81
5.6,305.1,3.3,1269.3,33,30,34,0,0,0,-6.09,-5.63,-6.45
5.6,372.5,3,1353.4,31,29,31,0,0,0,-9.7,-7.54,-8.77
5.6,373.3,1.4,1364,21,17,20,0,0,0,-10.64,-6.43,-9.44
5.68,382.4,4.9,1363.3,21,19,20,0,0,0,-7.72,-6.45,-8.45
5.75,307.4,0.5,1279,19,16,19,0,0,0,-4.87,-4.35,-6.76
5.73,387.8,1.3,1365,21,17,20,0,0,0,-8.39,-5.29,-8.67
5.7,372.2,2.1,1409.1,11,9,13,0,0,0,-6.29,-8.81,-8.34
5.79,351.5,1.8,1335,20,17,21,0,0,0,-7.43,-7.62,-9.18
5.71,346.8,4.8,1323.3,21,19,21,0,0,0,-9.59,-5.87,-7.88
5.83,317,4.5,1282.1,38,37,38,0,0,0,-5.51,-6.63,-7.4
5.82,352.1,2.9,1326.8,37,33,37,0,0,0,-5.53,-7.33,-8.11
5.81,391.8,2.9,1400.3,36,33,37,0,0,0,-5.8,-7.53,-8.15
5.93,331.7,2.2,1311.9,31,27,31,0,0,0,-5.51,-4.88,-9.01
5.91,385,1.7,1370,11,7,11,0,0,0,-7.63,-6.2,-8.27
6.58,338.5,2.9,1313.9,36,33,37,0,0,0,-5.5,-6.79,-6.8
6.68,362.9,3.4,1338.5,30,27,31,0,0,0,-3.74,-6.7,-8.68
4.41,400.6,0.3,1391.7,19,16,20,0,0,0,-7.49,-6.73,-9.41
4.69,409.7,3.9,1394,38,36,38,0,0,0,-5.91,-7.71,-8.82
4.61,412.9,2.1,1408.1,33,30,34,0,0,0,-6.89,-6.14,-8.9
4.66,455,2.1,1432.9,33,29,33,0,0,0,-10.69,-9.22,-9.38
4.67,441,3.3,1426,33,30,31,0,0,0,-8.13,-11.17,-10.72
